,Year,Length,NPositive,NNegative,PPositive,PNegative,Polarity,Subjectivity,Bank,Report,Dictionary
0,2011,,,,,,,,Dhanalakshmi,Director Report,Harvard-IV
1,2012,900.0,178.0,59.0,0.1978,0.0656,0.5021,0.2633,Dhanalakshmi,Director Report,Harvard-IV
2,2013,1132.0,259.0,72.0,0.2288,0.0636,0.565,0.2924,Dhanalakshmi,Director Report,Harvard-IV
3,2014,1571.0,335.0,81.0,0.2132,0.0516,0.6106,0.2648,Dhanalakshmi,Director Report,Harvard-IV
4,2015,1740.0,393.0,92.0,0.2259,0.0529,0.6206,0.2787,Dhanalakshmi,Director Report,Harvard-IV
5,2018,2754.0,599.0,125.0,0.2175,0.0454,0.6547,0.2629,Dhanalakshmi,Director Report,Harvard-IV
6,2019,2064.0,390.0,66.0,0.189,0.032,0.7105,0.2209,Dhanalakshmi,Director Report,Harvard-IV
7,2020,2102.0,449.0,65.0,0.2136,0.0309,0.7471,0.2445,Dhanalakshmi,Director Report,Harvard-IV
8,2021,2091.0,454.0,75.0,0.2171,0.0359,0.7164,0.253,Dhanalakshmi,Director Report,Harvard-IV
0,2010,284.0,77.0,15.0,0.2711,0.0528,0.6739,0.3239,Dhanalakshmi,Auditor Report,Harvard-IV
1,2011,,,,,,,,Dhanalakshmi,Auditor Report,Harvard-IV
2,2012,344.0,84.0,20.0,0.2442,0.0581,0.6154,0.3023,Dhanalakshmi,Auditor Report,Harvard-IV
3,2013,425.0,110.0,29.0,0.2588,0.0682,0.5827,0.3271,Dhanalakshmi,Auditor Report,Harvard-IV
4,2014,534.0,125.0,31.0,0.2341,0.0581,0.6026,0.2921,Dhanalakshmi,Auditor Report,Harvard-IV
5,2015,636.0,181.0,38.0,0.2846,0.0597,0.653,0.3443,Dhanalakshmi,Auditor Report,Harvard-IV
6,2016,,,,,,,,Dhanalakshmi,Auditor Report,Harvard-IV
7,2017,,,,,,,,Dhanalakshmi,Auditor Report,Harvard-IV
8,2018,990.0,246.0,44.0,0.2485,0.0444,0.6966,0.2929,Dhanalakshmi,Auditor Report,Harvard-IV
9,2019,1812.0,465.0,94.0,0.2566,0.0519,0.6637,0.3085,Dhanalakshmi,Auditor Report,Harvard-IV
10,2020,1737.0,438.0,86.0,0.2522,0.0495,0.6718,0.3017,Dhanalakshmi,Auditor Report,Harvard-IV
11,2021,2306.0,551.0,105.0,0.2389,0.0455,0.6799,0.2845,Dhanalakshmi,Auditor Report,Harvard-IV
