Year,Length,NPositive,NNegative,PPositive,PNegative,Polarity,Subjectivity,Bank,Report,Dictionary
2011,900,178,59,0.1978,0.0656,0.5021,0.2633,Dhanalakshmi,Director Report,Harvard-IV
2012,900,178,59,0.1978,0.0656,0.5021,0.2633,Dhanalakshmi,Director Report,Harvard-IV
2013,1132,259,72,0.2288,0.0636,0.565,0.2924,Dhanalakshmi,Director Report,Harvard-IV
2014,1571,335,81,0.2132,0.0516,0.6106,0.2648,Dhanalakshmi,Director Report,Harvard-IV
2015,1740,393,92,0.2259,0.0529,0.6206,0.2787,Dhanalakshmi,Director Report,Harvard-IV
2018,2754,599,125,0.2175,0.0454,0.6547,0.2629,Dhanalakshmi,Director Report,Harvard-IV
2019,2064,390,66,0.189,0.032,0.7105,0.2209,Dhanalakshmi,Director Report,Harvard-IV
2020,2102,449,65,0.2136,0.0309,0.7471,0.2445,Dhanalakshmi,Director Report,Harvard-IV
2021,2091,454,75,0.2171,0.0359,0.7164,0.253,Dhanalakshmi,Director Report,Harvard-IV
2010,284,77,15,0.2711,0.0528,0.6739,0.3239,Dhanalakshmi,Auditor Report,Harvard-IV
2011,344,84,20,0.2442,0.0581,0.6154,0.3023,Dhanalakshmi,Auditor Report,Harvard-IV
2012,344,84,20,0.2442,0.0581,0.6154,0.3023,Dhanalakshmi,Auditor Report,Harvard-IV
2013,425,110,29,0.2588,0.0682,0.5827,0.3271,Dhanalakshmi,Auditor Report,Harvard-IV
2014,534,125,31,0.2341,0.0581,0.6026,0.2921,Dhanalakshmi,Auditor Report,Harvard-IV
2015,636,181,38,0.2846,0.0597,0.653,0.3443,Dhanalakshmi,Auditor Report,Harvard-IV
2016,636,181,38,0.2846,0.0597,0.653,0.3443,Dhanalakshmi,Auditor Report,Harvard-IV
2017,990,246,44,0.2485,0.0444,0.6966,0.2929,Dhanalakshmi,Auditor Report,Harvard-IV
2018,990,246,44,0.2485,0.0444,0.6966,0.2929,Dhanalakshmi,Auditor Report,Harvard-IV
2019,1812,465,94,0.2566,0.0519,0.6637,0.3085,Dhanalakshmi,Auditor Report,Harvard-IV
2020,1737,438,86,0.2522,0.0495,0.6718,0.3017,Dhanalakshmi,Auditor Report,Harvard-IV
2021,2306,551,105,0.2389,0.0455,0.6799,0.2845,Dhanalakshmi,Auditor Report,Harvard-IV
2010,306,85,14,0.2778,0.0458,0.7172,0.3235,Lakshmi Vilas,Auditor Report,Harvard-IV
2011,302,83,14,0.2748,0.0464,0.7113,0.3212,Lakshmi Vilas,Auditor Report,Harvard-IV
2012,463,110,32,0.2376,0.0691,0.5493,0.3067,Lakshmi Vilas,Auditor Report,Harvard-IV
2013,463,110,32,0.2376,0.0691,0.5493,0.3067,Lakshmi Vilas,Auditor Report,Harvard-IV
2014,554,121,37,0.2184,0.0668,0.5316,0.2852,Lakshmi Vilas,Auditor Report,Harvard-IV
2015,543,160,27,0.2947,0.0497,0.7112,0.3444,Lakshmi Vilas,Auditor Report,Harvard-IV
2016,999,254,44,0.2543,0.044,0.7047,0.2983,Lakshmi Vilas,Auditor Report,Harvard-IV
2017,1044,263,49,0.2519,0.0469,0.6859,0.2989,Lakshmi Vilas,Auditor Report,Harvard-IV
2018,1074,274,50,0.2551,0.0466,0.6914,0.3017,Lakshmi Vilas,Auditor Report,Harvard-IV
2019,2034,507,109,0.2493,0.0536,0.6461,0.3029,Lakshmi Vilas,Auditor Report,Harvard-IV
2020,2668,596,158,0.2234,0.0592,0.5809,0.2826,Lakshmi Vilas,Auditor Report,Harvard-IV
2010,1211,277,38,0.2287,0.0314,0.7587,0.2601,Lakshmi Vilas,Director Report,Harvard-IV
2011,1756,427,77,0.2432,0.0438,0.6944,0.287,Lakshmi Vilas,Director Report,Harvard-IV
2012,1630,358,82,0.2196,0.0503,0.6273,0.2699,Lakshmi Vilas,Director Report,Harvard-IV
2013,1630,358,82,0.2196,0.0503,0.6273,0.2699,Lakshmi Vilas,Director Report,Harvard-IV
2014,2476,487,163,0.1967,0.0658,0.4985,0.2625,Lakshmi Vilas,Director Report,Harvard-IV
2015,3047,690,173,0.2265,0.0568,0.5991,0.2832,Lakshmi Vilas,Director Report,Harvard-IV
